"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001788","GO:0001788","antibody-dependent cellular cytotoxicity","4/151","31/28905",0.129032258064516,24.6998504593036,9.56734181271295,2.01753088135112e-05,0.00228283407766886,0.0019327149147448,"Fcgr1/Fcgr3/H2-K1/H2-D1",4
"GO:0001796","GO:0001796","regulation of type IIa hypersensitivity","4/151","32/28905",0.125,23.9279801324503,9.40401134066981,2.29640373610951e-05,0.00228283407766886,0.0019327149147448,"Fcgr1/Fcgr3/H2-K1/H2-D1",4
"GO:0001798","GO:0001798","positive regulation of type IIa hypersensitivity","4/151","32/28905",0.125,23.9279801324503,9.40401134066981,2.29640373610951e-05,0.00228283407766886,0.0019327149147448,"Fcgr1/Fcgr3/H2-K1/H2-D1",4
"GO:0002892","GO:0002892","regulation of type II hypersensitivity","4/151","32/28905",0.125,23.9279801324503,9.40401134066981,2.29640373610951e-05,0.00228283407766886,0.0019327149147448,"Fcgr1/Fcgr3/H2-K1/H2-D1",4
"GO:0002894","GO:0002894","positive regulation of type II hypersensitivity","4/151","32/28905",0.125,23.9279801324503,9.40401134066981,2.29640373610951e-05,0.00228283407766886,0.0019327149147448,"Fcgr1/Fcgr3/H2-K1/H2-D1",4
"GO:1901798","GO:1901798","positive regulation of signal transduction by p53 class mediator","4/151","33/28905",0.121212121212121,23.2028898254064,9.24796873898289,2.60255881480164e-05,0.00247469396868312,0.00209514917859775,"Rpl23/Rpl26/Rps7/Ubb",4
"GO:0050729","GO:0050729","positive regulation of inflammatory response","7/151","167/28905",0.0419161676646707,8.02375381686957,6.59656065621439,2.90865023313443e-05,0.00258005419558151,0.00218435026593886,"Rps19/Trem2/Cd81/Fcgr1/Fcgr3/H2-K1/H2-D1",7
"GO:1905907","GO:1905907","negative regulation of amyloid fibril formation","3/151","12/28905",0.25,47.8559602649007,11.7646079931001,2.97013950248338e-05,0.00258005419558151,0.00218435026593886,"Apoe/Trem2/Pfdn6",3
"GO:0001794","GO:0001794","type IIa hypersensitivity","4/151","35/28905",0.114285714285714,21.8770104068117,8.95565287236873,3.30322439306275e-05,0.00258005419558151,0.00218435026593886,"Fcgr1/Fcgr3/H2-K1/H2-D1",4
"GO:0002445","GO:0002445","type II hypersensitivity","4/151","35/28905",0.114285714285714,21.8770104068117,8.95565287236873,3.30322439306275e-05,0.00258005419558151,0.00218435026593886,"Fcgr1/Fcgr3/H2-K1/H2-D1",4
"GO:1902253","GO:1902253","regulation of intrinsic apoptotic signaling pathway by p53 class mediator","4/151","35/28905",0.114285714285714,21.8770104068117,8.95565287236873,3.30322439306275e-05,0.00258005419558151,0.00218435026593886,"Rpl26/Rps7/Ubb/Tifab",4
"GO:0002885","GO:0002885","positive regulation of hypersensitivity","4/151","37/28905",0.108108108108108,20.6944693037408,8.68670573809362,4.1328813347664e-05,0.00311676257901176,0.0026387434729053,"Fcgr1/Fcgr3/H2-K1/H2-D1",4
"GO:0042273","GO:0042273","ribosomal large subunit biogenesis","5/151","75/28905",0.0666666666666667,12.7615894039735,7.3908202214057,4.68065256843607e-05,0.00338348781475323,0.00286456095403506,"Rpl35a/Rpl10/Rpl10a/Rpl7/Rpl26",5
"GO:0098883","GO:0098883","synapse pruning","3/151","14/28905",0.214285714285714,41.019394512772,10.8535436690567,4.87663878087708e-05,0.00338348781475323,0.00286456095403506,"Trem2/C1qb/C1qa",3
"GO:0002866","GO:0002866","positive regulation of acute inflammatory response to antigenic stimulus","4/151","39/28905",0.102564102564103,19.6332144676516,8.43810832356796,5.10539999482655e-05,0.00338348781475323,0.00286456095403506,"Fcgr1/Fcgr3/H2-K1/H2-D1",4
"GO:0034381","GO:0034381","plasma lipoprotein particle clearance","4/151","39/28905",0.102564102564103,19.6332144676516,8.43810832356796,5.10539999482655e-05,0.00338348781475323,0.00286456095403506,"Apoe/Trem2/Lrpap1/Cnpy2",4
"GO:0002714","GO:0002714","positive regulation of B cell mediated immunity","5/151","78/28905",0.0641025641025641,12.2707590422822,7.22302397034235,5.65369428038686e-05,0.0035327512546303,0.00299093180126331,"Trem2/Fcgr1/Fcgr3/H2-K1/H2-D1",5
"GO:0002891","GO:0002891","positive regulation of immunoglobulin mediated immune response","5/151","78/28905",0.0641025641025641,12.2707590422822,7.22302397034235,5.65369428038686e-05,0.0035327512546303,0.00299093180126331,"Trem2/Fcgr1/Fcgr3/H2-K1/H2-D1",5
"GO:0002883","GO:0002883","regulation of hypersensitivity","4/151","41/28905",0.0975609756097561,18.6754966887417,8.20736240608378,6.235137544166e-05,0.00378784605808085,0.00320690261409006,"Fcgr1/Fcgr3/H2-K1/H2-D1",4
"GO:1905906","GO:1905906","regulation of amyloid fibril formation","3/151","16/28905",0.1875,35.8919701986755,10.1166690610508,7.44515634092003e-05,0.00432810991108933,0.00366430598686311,"Apoe/Trem2/Pfdn6",3
"GO:2001242","GO:2001242","regulation of intrinsic apoptotic signaling pathway","7/151","194/28905",0.0360824742268041,6.90704581142896,5.98226101595269,7.5202641344945e-05,0.00432810991108933,0.00366430598686311,"Trem2/Rps3/Rpl26/Tpt1/Rps7/Ubb/Tifab",7
"GO:0006959","GO:0006959","humoral immune response","9/151","339/28905",0.0265486725663717,5.08204887768857,5.4786259150044,7.74714433804817e-05,0.00434436017110547,0.00367806393809088,"Rps19/Trem2/Rpl39/Cd81/C1qb/Cfh/C1qa/H2-K1/H2-D1",9
"GO:0048002","GO:0048002","antigen processing and presentation of peptide antigen","5/151","84/28905",0.0595238095238095,11.3942762535478,6.91349557379813,8.06256106706378e-05,0.00440820526341712,0.00373211708341189,"Trem2/Fcgr1/Fcgr3/H2-K1/H2-D1",5
"GO:1901796","GO:1901796","regulation of signal transduction by p53 class mediator","5/151","86/28905",0.0581395348837209,11.1292930848606,6.81721864631422,9.01942780380762e-05,0.00469994576005723,0.00397911322500934,"Rpl23/Rpl26/Rps7/Ubb/Tifab",5
"GO:0002524","GO:0002524","hypersensitivity","4/151","45/28905",0.0888888888888889,17.0154525386313,7.7914021704068,9.02595893563802e-05,0.00469994576005723,0.00397911322500934,"Fcgr1/Fcgr3/H2-K1/H2-D1",4
"GO:0034248","GO:0034248","regulation of amide metabolic process","10/151","432/28905",0.0231481481481481,4.43110743193525,5.20688384558613,9.65653484253551e-05,0.00491135853502911,0.00415810153929497,"Rplp1/Apoe/Rpl10/Rps3/Rpl26/Ncl/Eif3e/Ormdl2/Tia1/Alkbh1",10
"GO:1900221","GO:1900221","regulation of amyloid-beta clearance","3/151","18/28905",0.166666666666667,31.9039735099338,9.50424599421193,0.000107657453005947,0.00535106476645466,0.00453036985257081,"Apoe/Trem2/Lrpap1",3
"GO:0002864","GO:0002864","regulation of acute inflammatory response to antigenic stimulus","4/151","48/28905",0.0833333333333333,15.9519867549669,7.51298023559549,0.000116450121189532,0.00565947588981124,0.00479147984028974,"Fcgr1/Fcgr3/H2-K1/H2-D1",4
"GO:0000028","GO:0000028","ribosomal small subunit assembly","3/151","20/28905",0.15,28.7135761589404,8.98441276796045,0.00014925486666826,0.00706421532911553,0.00598077383770809,"Rps27/Rps19/Rps5",3
"GO:0006414","GO:0006414","translational elongation","5/151","96/28905",0.0520833333333333,9.9699917218543,6.37943006339996,0.000151814412651317,0.00706421532911553,0.00598077383770809,"Rplp1/Eef1b2/Eef1a1/Rplp2/Alkbh1",5
"GO:0002478","GO:0002478","antigen processing and presentation of exogenous peptide antigen","4/151","53/28905",0.0754716981132075,14.447082344121,7.10062130327711,0.000171733623245841,0.00752278039803268,0.00636900860113084,"Fcgr1/Fcgr3/H2-K1/H2-D1",4
"GO:0048143","GO:0048143","astrocyte activation","3/151","21/28905",0.142857142857143,27.3462630085147,8.75222181654037,0.000173464548561371,0.00752278039803268,0.00636900860113084,"Trem2/Zeb2/C1qa",3
"GO:0002712","GO:0002712","regulation of B cell mediated immunity","5/151","99/28905",0.0505050505050505,9.66787076058599,6.26046886665838,0.000175428349474013,0.00752278039803268,0.00636900860113084,"Trem2/Fcgr1/Fcgr3/H2-K1/H2-D1",5
"GO:0002889","GO:0002889","regulation of immunoglobulin mediated immune response","5/151","99/28905",0.0505050505050505,9.66787076058599,6.26046886665838,0.000175428349474013,0.00752278039803268,0.00636900860113084,"Trem2/Fcgr1/Fcgr3/H2-K1/H2-D1",5
"GO:0002888","GO:0002888","positive regulation of myeloid leukocyte mediated immunity","4/151","55/28905",0.0727272727272727,13.9217338952438,6.95100407070187,0.000198406380573612,0.00834451450604786,0.0070647130248782,"Fcgr1/Fcgr3/H2-K1/H2-D1",4
"GO:0010984","GO:0010984","regulation of lipoprotein particle clearance","3/151","23/28905",0.130434782608696,24.9683270947308,8.33309480454844,0.000229218520092021,0.00945850761209906,0.00800785256885531,"Trem2/Lrpap1/Cnpy2",3
"GO:0002449","GO:0002449","lymphocyte mediated immunity","10/151","482/28905",0.020746887966805,3.97144898463906,4.76732932440493,0.000233995910405825,0.0094768343714359,0.00802336854588393,"Trem2/Cd81/Fcgr1/C1qb/Cfh/C1qa/Fcgr3/H2-K1/H2-D1/Pou2f2",10
"GO:0002675","GO:0002675","positive regulation of acute inflammatory response","4/151","58/28905",0.0689655172413793,13.2016442110071,6.74062769532759,0.000243838111804023,0.00949580218516841,0.00803942725854269,"Fcgr1/Fcgr3/H2-K1/H2-D1",4
"GO:0031348","GO:0031348","negative regulation of defense response","8/151","312/28905",0.0256410256410256,4.90830361691289,5.0298385275549,0.000246331787629014,0.00949580218516841,0.00803942725854269,"Rps19/Apoe/Trem2/Tnfaip8l2/Psma1/H2-K1/H2-D1/Otulin",8
"GO:0002824","GO:0002824","positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","6/151","167/28905",0.0359281437125748,6.87750327160249,5.52002644869241,0.000253683876695405,0.00949580218516841,0.00803942725854269,"Trem2/Cd81/Fcgr1/Fcgr3/H2-K1/H2-D1",6
"GO:0002455","GO:0002455","humoral immune response mediated by circulating immunoglobulin","4/151","59/28905",0.0677966101694915,12.9778875294646,6.67393159132263,0.000260515834984044,0.00949580218516841,0.00803942725854269,"Trem2/Cd81/C1qb/C1qa",4
"GO:0002474","GO:0002474","antigen processing and presentation of peptide antigen via MHC class I","4/151","59/28905",0.0677966101694915,12.9778875294646,6.67393159132263,0.000260515834984044,0.00949580218516841,0.00803942725854269,"Fcgr1/Fcgr3/H2-K1/H2-D1",4
"GO:0061900","GO:0061900","glial cell activation","4/151","59/28905",0.0677966101694915,12.9778875294646,6.67393159132263,0.000260515834984044,0.00949580218516841,0.00803942725854269,"Trem2/Ifngr2/Zeb2/C1qa",4
"GO:0002708","GO:0002708","positive regulation of lymphocyte mediated immunity","6/151","169/28905",0.0355029585798817,6.79611270034092,5.47627602247454,0.000270447613493558,0.00965048340865389,0.00817038496177036,"Trem2/Cd81/Fcgr1/Fcgr3/H2-K1/H2-D1",6
"GO:0002438","GO:0002438","acute inflammatory response to antigenic stimulus","4/151","60/28905",0.0666666666666667,12.7615894039735,6.60883153440405,0.00027799746444682,0.00965048340865389,0.00817038496177036,"Fcgr1/Fcgr3/H2-K1/H2-D1",4
"GO:0019884","GO:0019884","antigen processing and presentation of exogenous antigen","4/151","60/28905",0.0666666666666667,12.7615894039735,6.60883153440405,0.00027799746444682,0.00965048340865389,0.00817038496177036,"Fcgr1/Fcgr3/H2-K1/H2-D1",4
"GO:0002460","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","10/151","494/28905",0.0202429149797571,3.87497653966807,4.67060170191028,0.000284432489215598,0.00971959146741428,0.00822889389029996,"Trem2/Cd81/Fcgr1/C1qb/Cfh/C1qa/Fcgr3/H2-K1/H2-D1/Pou2f2",10
"GO:0050728","GO:0050728","negative regulation of inflammatory response","6/151","172/28905",0.0348837209302326,6.67757585091637,5.41196520504934,0.000297212575188449,0.0100000600298021,0.00846634687864747,"Rps19/Apoe/Trem2/Tnfaip8l2/Psma1/Otulin",6
"GO:0002821","GO:0002821","positive regulation of adaptive immune response","6/151","175/28905",0.0342857142857143,6.56310312204352,5.34917289747999,0.000326013672884101,0.0108029076151141,0.00914606141312812,"Trem2/Cd81/Fcgr1/Fcgr3/H2-K1/H2-D1",6
"GO:0150146","GO:0150146","cell junction disassembly","3/151","26/28905",0.115384615384615,22.087366276108,7.79536139328201,0.000332671436858681,0.0108589915285065,0.00919354371460205,"Trem2/C1qb/C1qa",3
"GO:0042255","GO:0042255","ribosome assembly","4/151","66/28905",0.0606060606060606,11.6014449127032,6.24834849683143,0.000401032058353574,0.0128978987002833,0.010919742889225,"Rps27/Rps19/Rpl10/Rps5",4
"GO:0097193","GO:0097193","intrinsic apoptotic signaling pathway","8/151","338/28905",0.0236686390532544,4.53074180022728,4.73162486806517,0.000420137565335393,0.0132711774466177,0.0112357717269995,"Trem2/Rps3/Bcl2a1b/Rpl26/Tpt1/Rps7/Ubb/Tifab",8
"GO:0006956","GO:0006956","complement activation","4/151","67/28905",0.0597014925373134,11.4282890184837,6.19278789303074,0.00042477476966769,0.0132711774466177,0.0112357717269995,"Trem2/C1qb/Cfh/C1qa",4
"GO:0042440","GO:0042440","pigment metabolic process","4/151","70/28905",0.0571428571428571,10.9385052034059,6.0329319317348,0.000502013295021256,0.0152486538362707,0.0129099617827835,"Zeb2/Hebp1/Gipc1/Slc25a39",4
"GO:0097006","GO:0097006","regulation of plasma lipoprotein particle levels","4/151","70/28905",0.0571428571428571,10.9385052034059,6.0329319317348,0.000502013295021256,0.0152486538362707,0.0129099617827835,"Apoe/Trem2/Lrpap1/Cnpy2",4
"GO:1990000","GO:1990000","amyloid fibril formation","3/151","30/28905",0.1,19.1423841059603,7.204640284664,0.00051158963887503,0.0153266649345163,0.0129760082881208,"Apoe/Trem2/Pfdn6",3
"GO:0045730","GO:0045730","respiratory burst","3/151","31/28905",0.0967741935483871,18.5248878444777,7.07458439560564,0.000564241174238763,0.0166756141629753,0.0141180686413369,"Rps19/Trem2/Ncf2",3
"GO:2001244","GO:2001244","positive regulation of intrinsic apoptotic signaling pathway","4/151","73/28905",0.0547945205479452,10.488977592307,5.88249789189311,0.000588757276901169,0.0170929905467472,0.0144714318445014,"Rps3/Rpl26/Rps7/Ubb",4
"GO:0002705","GO:0002705","positive regulation of leukocyte mediated immunity","6/151","196/28905",0.0306122448979592,5.85991350182457,4.94727277399677,0.000593995099018194,0.0170929905467472,0.0144714318445014,"Trem2/Cd81/Fcgr1/Fcgr3/H2-K1/H2-D1",6
"GO:0006910","GO:0006910","phagocytosis, recognition","3/151","32/28905",0.09375,17.9459850993377,6.95046991197662,0.000620235360812316,0.0176162952480069,0.0149144770973187,"Trem2/Fcgr1/Fcgr3",3
"GO:0008380","GO:0008380","RNA splicing","9/151","455/28905",0.0197802197802198,3.7864056473328,4.34137417354417,0.000675950466260238,0.0186645824003887,0.0158019880356575,"Rps26/Rps13/Rbmxl1/Ncl/Lsm5/Zmat2/Syf2/Tia1/Wbp4",9
"GO:0000462","GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","3/151","33/28905",0.0909090909090909,17.4021673690548,6.83184631700561,0.000679656338078743,0.0186645824003887,0.0158019880356575,"Rps21/Rps19/Rps8",3
"GO:0006417","GO:0006417","regulation of translation","8/151","364/28905",0.021978021978022,4.20711738592533,4.46220243541191,0.000682746498413854,0.0186645824003887,0.0158019880356575,"Rplp1/Rpl10/Rps3/Rpl26/Ncl/Eif3e/Tia1/Alkbh1",8
"GO:0019882","GO:0019882","antigen processing and presentation","5/151","135/28905",0.037037037037037,7.08977189109639,5.13944582234807,0.000731762789891758,0.0197575953270775,0.0167273651386563,"Trem2/Fcgr1/Fcgr3/H2-K1/H2-D1",5
"GO:0002726","GO:0002726","positive regulation of T cell cytokine production","3/151","34/28905",0.0882352941176471,16.8903389170238,6.71830968459875,0.000742586679097872,0.0198053300876469,0.0167677788001689,"Cd81/H2-K1/H2-D1",3
"GO:0002673","GO:0002673","regulation of acute inflammatory response","4/151","80/28905",0.05,9.57119205298013,5.56313854252232,0.000831693973786092,0.0219146351887974,0.01855357894597,"Fcgr1/Fcgr3/H2-K1/H2-D1",4
"GO:0021782","GO:0021782","glial cell development","5/151","140/28905",0.0357142857142857,6.83656575212867,5.0165774870994,0.000861937021022108,0.0224411460116113,0.0189993385962141,"Trem2/Phgdh/Zeb2/Map2k2/C1qa",5
"GO:0055094","GO:0055094","response to lipoprotein particle","3/151","36/28905",0.0833333333333333,15.9519867549669,6.50507933479537,0.000879298013702129,0.0226238206584301,0.0191539963603968,"Apoe/Trem2/Cd81",3
"GO:0097242","GO:0097242","amyloid-beta clearance","3/151","37/28905",0.0810810810810811,15.5208519778056,6.40476096371142,0.000953236472556934,0.0242410251800234,0.0205231695866297,"Apoe/Trem2/Lrpap1",3
"GO:0098581","GO:0098581","detection of external biotic stimulus","3/151","38/28905",0.0789473684210526,15.1124085047055,6.30827220671323,0.00103099925875368,0.0256226747601625,0.0216929150256905,"Trem2/H2-K1/H2-D1",3
"GO:1902229","GO:1902229","regulation of intrinsic apoptotic signaling pathway in response to DNA damage","3/151","38/28905",0.0789473684210526,15.1124085047055,6.30827220671323,0.00103099925875368,0.0256226747601625,0.0216929150256905,"Rps3/Rpl26/Tpt1",3
"GO:0045088","GO:0045088","regulation of innate immune response","9/151","486/28905",0.0185185185185185,3.5448859455482,4.100155951335,0.00107327463205949,0.0259569959460527,0.0219759612394324,"Rps19/Apoe/Trem2/Cfh/H2-K1/H2-D1/Matr3/Tifab/Otulin",9
"GO:0014002","GO:0014002","astrocyte development","3/151","39/28905",0.0769230769230769,14.7249108507387,6.21536797587467,0.00111266136365413,0.0259569959460527,0.0219759612394324,"Trem2/Zeb2/C1qa",3
"GO:0071402","GO:0071402","cellular response to lipoprotein particle stimulus","3/151","39/28905",0.0769230769230769,14.7249108507387,6.21536797587467,0.00111266136365413,0.0259569959460527,0.0219759612394324,"Apoe/Trem2/Cd81",3
"GO:0150076","GO:0150076","neuroinflammatory response","4/151","87/28905",0.0459770114942529,8.80109614067139,5.28082349166822,0.00113796032065059,0.0259569959460527,0.0219759612394324,"Trem2/Ifngr2/Zeb2/C1qa",4
"GO:1903050","GO:1903050","regulation of proteolysis involved in protein catabolic process","6/151","224/28905",0.0267857142857143,5.1274243140965,4.49390923267417,0.00118655864619565,0.0259569959460527,0.0219759612394324,"Apoe/Trem2/Rpl23/Rps7/Ubb/Gipc1",6
"GO:0021957","GO:0021957","corticospinal tract morphogenesis","2/151","10/28905",0.2,38.2847682119205,8.5455183656956,0.00118687681509157,0.0259569959460527,0.0219759612394324,"Scn1b/Zeb2",2
"GO:0048023","GO:0048023","positive regulation of melanin biosynthetic process","2/151","10/28905",0.2,38.2847682119205,8.5455183656956,0.00118687681509157,0.0259569959460527,0.0219759612394324,"Zeb2/Gipc1",2
"GO:0060613","GO:0060613","fat pad development","2/151","10/28905",0.2,38.2847682119205,8.5455183656956,0.00118687681509157,0.0259569959460527,0.0219759612394324,"Ubb/Arid5b",2
"GO:1900378","GO:1900378","positive regulation of secondary metabolite biosynthetic process","2/151","10/28905",0.2,38.2847682119205,8.5455183656956,0.00118687681509157,0.0259569959460527,0.0219759612394324,"Zeb2/Gipc1",2
"GO:1904667","GO:1904667","negative regulation of ubiquitin protein ligase activity","2/151","10/28905",0.2,38.2847682119205,8.5455183656956,0.00118687681509157,0.0259569959460527,0.0219759612394324,"Rpl23/Rps7",2
"GO:2000567","GO:2000567","regulation of memory T cell activation","2/151","10/28905",0.2,38.2847682119205,8.5455183656956,0.00118687681509157,0.0259569959460527,0.0219759612394324,"H2-K1/H2-D1",2
"GO:2000568","GO:2000568","positive regulation of memory T cell activation","2/151","10/28905",0.2,38.2847682119205,8.5455183656956,0.00118687681509157,0.0259569959460527,0.0219759612394324,"H2-K1/H2-D1",2
"GO:0000375","GO:0000375","RNA splicing, via transesterification reactions","7/151","310/28905",0.0225806451612903,4.32247383037812,4.26202192083293,0.00126320083138695,0.0268215555169249,0.0227079229679065,"Rbmxl1/Ncl/Lsm5/Zmat2/Syf2/Tia1/Wbp4",7
"GO:0000377","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","7/151","310/28905",0.0225806451612903,4.32247383037812,4.26202192083293,0.00126320083138695,0.0268215555169249,0.0227079229679065,"Rbmxl1/Ncl/Lsm5/Zmat2/Syf2/Tia1/Wbp4",7
"GO:0000398","GO:0000398","mRNA splicing, via spliceosome","7/151","310/28905",0.0225806451612903,4.32247383037812,4.26202192083293,0.00126320083138695,0.0268215555169249,0.0227079229679065,"Rbmxl1/Ncl/Lsm5/Zmat2/Syf2/Tia1/Wbp4",7
"GO:0006958","GO:0006958","complement activation, classical pathway","3/151","42/28905",0.0714285714285714,13.6731315042573,5.95602024988614,0.00138177159124858,0.0288337577958818,0.0244115129896547,"Trem2/C1qb/C1qa",3
"GO:0002699","GO:0002699","positive regulation of immune effector process","7/151","315/28905",0.0222222222222222,4.25386313465784,4.20790372170547,0.00138433679404096,0.0288337577958818,0.0244115129896547,"Rps19/Trem2/Cd81/Fcgr1/Fcgr3/H2-K1/H2-D1",7
"GO:0002419","GO:0002419","T cell mediated cytotoxicity directed against tumor cell target","2/151","11/28905",0.181818181818182,34.8043347381096,8.12611970559406,0.00144565793624857,0.0290059991428957,0.0245573376133389,"H2-K1/H2-D1",2
"GO:0034384","GO:0034384","high-density lipoprotein particle clearance","2/151","11/28905",0.181818181818182,34.8043347381096,8.12611970559406,0.00144565793624857,0.0290059991428957,0.0245573376133389,"Apoe/Trem2",2
